comment,date,class
Why do no abilities say anything about Runic Power?,"Nov 19, 2022 5:32 pm",Death Knight
Am I missing something?,"Nov 19, 2022 5:52 pm",Death Knight
"Obliterate generates 25 runic power, but that is not shown anywhere.","Nov 19, 2022 5:54 pm",Death Knight
They stopped showing a lot of data to the players. Dont really know why either.,"Nov 19, 2022 6:02 pm",Death Knight
Might of the Frozen Wastes has to be baseline! what is worth a talent point and helps further equality between 2H n DW is replacing it with our current 4piece bonus but only if wielding a 2H weapon this would help tremendously with razor ice stacks.,"Oct 17, 2022 10:13 am",Death Knight
or another option is to replace motfw with: if wielding a 2H weapon Killing machine procs store 2 charges. if that seems too OP Murderous efficiency can be 2 points 25/50% to get where motf is. this would help with our low crit chance proc rate of KM compared to DW,"Oct 20, 2022 2:02 pm",Death Knight
"to be honest they could probably swap Shattering blade and glacial advance and scrap the current glacial advance n make the current 4piece set bonus that node for both dw n 2H or
keep them both how they are and make shattering blade cause a glacial advance at least that would make frost strike be more interactive","Oct 20, 2022 2:35 pm",Death Knight
Been asking for them to make MotFW a passive again all alpha/beta. It should not have been put in the new talent tree in the first place.,"Oct 20, 2022 7:53 pm",Death Knight
"Not sure why the DK dev, who has made other improvements, is sleeping on this.
As it stands, you can’t even play a proper 2H Oblit spec in prepatch due to insufficient talent points for MotFW.","Oct 20, 2022 8:58 pm",Death Knight
"What I would like is for them to equalize this crumby back and fourth weapon imbalance within the spec, right now 2h is infront of DW and before that the roles were flipped, I agree that it should be made baseline just as I think DW should deal equal dmg and vice versa.","Oct 20, 2022 11:41 pm",Death Knight
"Its so dumb lol, also what Tyfus said, IDEK how tf any class is gonna play in prepatch with no legendaries no soulbinds and no skill points.","Oct 21, 2022 3:47 am",Death Knight
That one statement could cover a ton of things in the trees of sooo many classes. It just seems dumb to make the spells that have been baseline into talents to give the “illusion” of a big huge tree.,"Oct 21, 2022 5:22 am",Death Knight
"yeah what i would have liked to see with our character progression and power is see an evolution of our baseline abilities, imagin having to lvl to max just to play the spec u played for the last 4 yrs.
I love the talent tree idea and freedom, but talents should be for choosing between 2 talents like “frostrike cost 5rp more but cleaves” or “frostrike cost 5rp more but adds a stack of razor ice”
obviously more exciting things but just that choice of making our characters power evolve and become stronger","Oct 21, 2022 8:22 am",Death Knight
MOTFW Should 100% be a baseline passive. Allow me to loot weapons and use them as I please. Spending an extra point because I pick up a 2 hander that I like feels absolutely awful.,"Oct 21, 2022 2:13 pm",Death Knight
This by itself is absolutely killing all of my excitement for prepatch,"Oct 21, 2022 2:14 pm",Death Knight
"Why is this a talent node, and furthermore, why is it a node that is so inaccessible without losing obliteration lmao","Oct 21, 2022 4:33 pm",Death Knight
