comment,date,class
"Demon Hunter
Immolation Aura now deals reduced damage beyond 8 targets.
Havoc
Fel Rush now deals reduced damage beyond 5 targets.
Unboundchaos be useles?","Nov 19, 2022 10:03 am",Demon Hunter
I think these nerfs have been long overdue. We spent a good majority of SL playing Fel Rush and Immo Aura for AoE and it’s always been disproportionate to what many specs struggle to output.,"Nov 19, 2022 1:39 pm",Demon Hunter
"Unbound Chaos, like Momentum, should either be part of a different DPS spec or should be deleted. Movement for damage is toxic. I celebrate these nerfs.","Nov 19, 2022 4:17 pm",Demon Hunter
"Is the momentum style nerfed down to where its not going to be near mandatory now? I really like vengeance for dungeons and want to main the class after returning to wow, however i hate momentum for havoc and is really putting me off making this my main.","Nov 19, 2022 12:32 pm",Demon Hunter
"Momentum is a talent that buffs the entire toolkit, not just Fel Rush and Immo Aura. If you are going to use abilities as Havoc then you will still want to take Momentum. It’s that simple.","Nov 19, 2022 1:31 pm",Demon Hunter
"I was hoping with the changes, another build would make you not pick it anymore. Shows how much i know about DH.","Nov 19, 2022 1:36 pm",Demon Hunter
A flat damage increase is super hard to go without. Do you know if any of the other builds are close in damage?,"Nov 19, 2022 1:44 pm",Demon Hunter
Thanks for clarifying.,"Nov 19, 2022 2:15 pm",Demon Hunter
"Unfortunately because of where Momentum is situated on the talent tree it’s really difficult not to take it. Initiative and KYE are two of our most powerful talents, you’ll be hard-pressed to create any kind of build that can compete that foregoes those two in particular. Momentum is just a talent you’d pick up within the column of talents between those two, it’s a choice between that and Chaos Theory, which, given how particular the advatnage of Chaos Theory is compared to how general the one from Momentum is there isn’t really much choice at all (or you can have both!)","Nov 19, 2022 4:16 pm",Demon Hunter
What happened to it?,"Nov 2, 2022 7:38 pm",Demon Hunter
"Mortal Dance was and has always been a PVP talent.
On the beta it was added as a talent in the Havoc spec tree and as of yesterday, it was available to get as a PVP talent or in the spec tree.
Today, and without warning, it has been removed as a PVP talent and you can only select it in the spec tree…","Nov 2, 2022 9:00 pm",Demon Hunter
What gives??,"Nov 2, 2022 9:30 pm",Demon Hunter
Still there for me. On live should I say,"Nov 2, 2022 9:35 pm",Demon Hunter
As a PVP talent?,"Nov 2, 2022 9:50 pm",Demon Hunter
Yes my guy,"Nov 2, 2022 10:53 pm",Demon Hunter
"I’ll have to triple check then.
Weird. It wasn’t there earlier today on Beta or Live.","Nov 2, 2022 11:46 pm",Demon Hunter
Yeah I double check it’s there,"Nov 3, 2022 9:01 am",Demon Hunter
Yup. I only logged onto Live once today and it was gone. Now it’s back again. Man… idk,"Nov 3, 2022 10:17 am",Demon Hunter
"Mortal Dance and Demonic Origins are in the list of pvp talents, and work, but do not stak, is just silly XD","Nov 3, 2022 2:29 pm",Demon Hunter
"They are only here until the end of the prepatch. As soon as the new expansion kicks in, they are gone from pvp talents.","Nov 3, 2022 4:06 pm",Demon Hunter
Where did you see this? I don’t believe this is the case. They’re intended to not stack.,"Nov 4, 2022 5:41 am",Demon Hunter
"I’m also curious. If that’s the case, it’s fine… I’ve already updated my talent tree as such, but it’s just weird.","Nov 7, 2022 4:01 pm",Demon Hunter
I’m not on beta but on fel hammer they mentioned that whatever is on talent tree is gone from pvp talents on Dragon isles client. I don’t know if anyone can hop and confirm,"Nov 7, 2022 4:03 pm",Demon Hunter
"the bigger problem is that it doesn’t always work in pvp when selected in the tree. I used to use it in pvp selection but when saw it in the tree I was excited so I could take a different PVP talent. but it wasn’t putting the purple debuff on anything. Then on the dummy it was, but not on players and even reloaded the game. But if I choose it as a pvp talent it works. I reported it as a bug. Explore and report this if you find as well. I was getting into fights with classes that could heal and couldn’t beat them when taken from the tree, but then as a pvp talent it was easier. Then I had noticed this","Nov 9, 2022 5:08 pm",Demon Hunter
"Also Immolation doesn’t remove stuff even if you specced it , in pvp. Still stacked up by warlocks…another jackass bug","Nov 9, 2022 7:23 pm",Demon Hunter
I saw this the other day when testing and reported it as a bug.,"Nov 11, 2022 6:03 pm",Demon Hunter
"not sure why is been move to the three, doesnt really make sense","Nov 12, 2022 4:28 pm",Demon Hunter
"Yes, Mortal Dance and First of the Illidari are now in the tree only and have been removed as PVP talents.","Nov 12, 2022 10:04 pm",Demon Hunter
sad they are making us waste a talent tree points instead having it on the pvp talents =(,"Nov 12, 2022 10:09 pm",Demon Hunter
It feels so miserable having to spend a spec talent to get our ms.,"Nov 19, 2022 3:15 pm",Demon Hunter
After playing dracthyr and being able to shoot up in the sky with soar i wanted it for my DH even more.,"Nov 18, 2022 10:55 pm",Demon Hunter
I kept getting excited when i would see a quest marker hundreds of yards away and knew i was going to get to use soar to travel there. It was hitting the class fantasy in the right place.,"Nov 19, 2022 8:32 am",Demon Hunter
Not only is it super impactful for class fantasy but it is so fun.,"Nov 19, 2022 8:55 am",Demon Hunter
It feels bad getting back on my DH and being able to glide like Dracthyr but not soar.,"Nov 19, 2022 10:04 am",Demon Hunter
"Im not saying to do it right away, i know they want to drive excitement around the new race but if it could be an eventuality that was be","Nov 19, 2022 11:59 am",Demon Hunter
"Also, Illidan flies all the time so we know its possible for a DH to do it.","Nov 19, 2022 12:12 pm",Demon Hunter
"Also, while i have you… customizable demon forms.","Nov 19, 2022 1:13 pm",Demon Hunter
Actually a bit surprised once soar came out S an ability that DH wasn’t given the ability as well.,"Nov 19, 2022 1:29 pm",Demon Hunter
yeah…“The Hunt” … supposed to do 6k dmg hit me for 60k.,"Nov 8, 2022 3:43 pm",Demon Hunter
i wont make an exhaustive list…you all know haha.,"Nov 8, 2022 4:12 pm",Demon Hunter
prepatch goodness,"Nov 8, 2022 4:13 pm",Demon Hunter
6k isn’t taking into account their stats. My dh in 285 pvp gear has a tooltip of 13500 and then 14500 dot.,"Nov 8, 2022 9:10 pm",Demon Hunter
There’s a talent that converts arcane dmg to chaos dmg which would increase that by mastery %. So that and a crit would make sense for 60k dmg.,"Nov 8, 2022 10:07 pm",Demon Hunter
60k over 6 seconds (hit + dot) but my ele shaman can set up triple lava burst in single cast and adding in overloads will be about 60k as well.,"Nov 14, 2022 4:29 pm",Demon Hunter
"right, well i think some classes need a bit of tuning regardless of your explanation. DH is insane RN","Nov 14, 2022 9:09 pm",Demon Hunter
Dh for me was the bane of my existence as well before playing it and learning it. Just keep them stunned and slowed and they flip. Just like dk that can’t get on people and can’t death strike just flop over.,"Nov 15, 2022 12:52 pm",Demon Hunter
I hit a guy for 87k in solo shuffle earlier. 41% crit un buffed. 307 ilvl. Momentum+Fodder+initiative+on use trinket+dark archangel. Can’t forget KYE talent. I don’t spec into the increased dot damage because odds are you’re dying if I hit you for 87k (it’s usually mid 70s I don’t always have dark arch buff of course) in a GCD. On the low end is 60k really,"Nov 19, 2022 12:47 pm",Demon Hunter
"I love mine, so I’m keeping her. I’ll roll with whatever punches come my way. How about you?","Sep 1, 2022 12:37 am",Demon Hunter
DH will always be there for me if i need it. A good fallback.,"Sep 1, 2022 1:24 am",Demon Hunter
"But ima try Evoker in dragonflight, it looks fun, i still get horns, and i can still glide. Heyoo!","Sep 1, 2022 10:53 am",Demon Hunter
"Also i look at their talent tree and see several builds i might enjoy, as opposed to DH where there is only one, and it’s stressful to wonder whether the only playstyle you enjoy is going to be poop or not every tier. Like i’ve been doing this entire expansion.","Sep 1, 2022 10:58 am",Demon Hunter
"I love my DH and ima keep playing him, I have… “Faith” that Blizzard will improve on the talent trees, but the general lack of communication thus far with just Shadowlands in particular is unforgivable. Were bottom of the S4 overall… And yet, we still don’t get it addressed, hell were second to bottom on the boss list? I think? Either way, it needs something, because the higher the gear level everyone gets, the further behind we get, and this is not fair to us.","Sep 1, 2022 11:01 am",Demon Hunter
"Interesting. Not that I raid, personally. However, the Icy Veins rankings for season 4 DPS list Havoc as 9, out of 24.","Sep 1, 2022 11:12 am",Demon Hunter
"Where is that graph from, and do we know which is correct. For that matter, do we even know if those particular DH’s were trying or afk-ing?","Sep 1, 2022 11:14 am",Demon Hunter
that came straight from Icy-Veins front page,"Sep 1, 2022 11:18 am",Demon Hunter
"That’s weird. The one on their dedicated page is different. I can’t post links, so append this to the base url…","Sep 1, 2022 11:48 am",Demon Hunter
/wow/dps-rankings-tier-list,"Sep 1, 2022 11:52 am",Demon Hunter
Rank changes depending on the players you review.,"Sep 1, 2022 12:25 pm",Demon Hunter
