comment,date,class
"has rake stun been removed for resto druids?!
If so. why.","Nov 19, 2022 6:09 pm",Druid
"With the last few buffs they did to the bear we are now really only ever going too go into the right capstone area. The left is basically just useless now, There just isnt going to be an actual situation where i can see going to the left would be necessary.","Nov 13, 2022 11:31 am",Druid
"We cant give up sleeper or most of the moonfire talents at this point along with after the wildfire being as strong as it is, we just have too go that way.
Also with the rage generation bear has in DF ursocs guidance is a must aswell no matter the situation to have a 2min incarn.","Nov 13, 2022 12:21 pm",Druid
"I am happy for these buffs, just wish the tree was more routes in the tree too pick things easily like what other specs can do.","Nov 13, 2022 12:21 pm",Druid
I really wish Druid had the simplicity/layout that Warrior has for both it’s Class and Prot spec tree.,"Nov 13, 2022 12:24 pm",Druid
I really can’t see further changes until next patch cycle as this tuning is brute-forcing the spec out of bad design.,"Nov 13, 2022 12:28 pm",Druid
There is way too much baked into Moonfire to justify going into the Thrash side.,"Nov 13, 2022 12:29 pm",Druid
"I want to focus on Thrash, but the tuning is so imbalanced right now.","Nov 13, 2022 12:41 pm",Druid
Not to mention pathing is pretty bad.,"Nov 13, 2022 1:07 pm",Druid
"I may be the odd one out but I really enjoyed a swipe and thrash spam while leveling. I’d rather be able to do that versis tab targetting for moonfire, that seems way too dpsish","Nov 14, 2022 2:55 am",Druid
"Idk im soo bored with thrash, been doing that whole thing since bfa. it is rediculous how much dmg is only in moonfire though for aoe though. Single target with the last few changes maul does a significant amount of dmg.","Nov 14, 2022 7:32 am",Druid
"True.
I’ll be sacrificing a bunch (Wildfire needs to be more accessible), and as strong as Disco Bear might be, I just dislike that aspect.","Nov 14, 2022 9:07 am",Druid
Going for this build:,"Nov 14, 2022 9:31 am",Druid
"It’s an odd hodge-podge in the class tree as I wanted the extra range, speed & PotP.","Nov 14, 2022 9:41 am",Druid
"Likewise, the spec tree has the Maul focus along side a thin amount of capstone (worried it may be too thin tbh).","Nov 14, 2022 9:42 am",Druid
I don’t even like Moonfire spam and it feels bad to be sub optimal if I don’t go that route.,"Nov 14, 2022 9:50 am",Druid
"One the one hand, I agree.","Nov 14, 2022 9:58 am",Druid
"On the other hand, please shut up because if they try to fix it again they might just screw it up again, and having one excellent spec is better than having 3 mediocre ones!","Nov 14, 2022 10:17 am",Druid
"Having a massive amount of offensive power tied into a long range, long duration, cleaving ability, while incredibly weird for a BEAR, also feels incredibly good as a tank","Nov 14, 2022 10:28 am",Druid
Thrash spam looks like a viable play style. Is it 100% optimal? Maybe not.,"Nov 14, 2022 10:37 am",Druid
"From a defensive perspective, bears look to be extremely durable with multiple builds.","Nov 14, 2022 10:40 am",Druid
Feral druid AOE DPS is lacking. Also it is lacking in my opinion. On single target DPS. Does anybody seen anything saying that they’re going to rework any of the talents and the talent tree or do anything to make them any better?,"Nov 18, 2022 12:08 pm",Druid
"You’re doing it wrong. Feral AoE is absolutely nuts. Feral has multiple build options to focus on ST, AoE, or a mix of both right now. It’s arguably the most versatile melee dps spec. Maybe go watch a guide, or maybe it’s just a L2P issue.","Nov 18, 2022 12:53 pm",Druid
Obvious troll,"Nov 18, 2022 1:08 pm",Druid
Feral is top tier both in pre-patch and at 70 on the beta for AoE damage,"Nov 18, 2022 1:30 pm",Druid
Nah feral need a 50% damage buff to compensate for all those expansion where it was left in the trash bin.,"Nov 18, 2022 2:32 pm",Druid
Where are yall getting your data from,"Nov 19, 2022 8:45 am",Druid
Reading comprehension.,"Nov 19, 2022 11:38 am",Druid
"So one out of 3 people mentioned beta. Also, Feral is not top tier in anything on prepatch. You’re braindead.","Nov 19, 2022 12:10 pm",Druid
"Lol, feral is op in aoe RN, you 100% trolling or have no idea how to read your spells.","Nov 19, 2022 4:15 pm",Druid
I skipped Shadowlands and just came back. I’ve always felt like I can hit harder with my hunter or DK in 5 mans with blues than I can in moonkin in low level Raid or M+ gear.,"Nov 16, 2022 4:26 am",Druid
I don’t usually do 5 mans as Moonkin and usually use Guardian but the moonkins I see are consistently not good. I just finished a heroic with mosyly fresh 60’s and the meter looked like:,"Nov 16, 2022 10:17 am",Druid
The moonkin was legitimately 1/4 of the damage of the Evoker with better gear and the Evoker was in blues and just learning how to use it.,"Nov 16, 2022 1:57 pm",Druid
Sure Evoker hitting hard is expected right now but I don’t even remember the last time I tanked a dungeon and got beat by a mookin. In that run I didn’t even realize the update reset most my guardian talents and was still 2x the moonkin.,"Nov 16, 2022 8:58 pm",Druid
Boomkin just requires actual thought too play properly. Alot of boomkins really suck but there are a few great ones and they doo great dmg.,"Nov 17, 2022 7:04 am",Druid
Ran Ulduar this time with talents. Got another moonkin in back to back runs.,"Nov 18, 2022 5:57 am",Druid
The moonkin was directly in the middle between the healer and the next last DPS. This is not a rare occurrence it’s every time I have a moonkin in a dungeon group.,"Nov 18, 2022 7:20 am",Druid
They are basically lucky to out-DPS the healer.,"Nov 18, 2022 8:50 am",Druid
Moony-main here!,"Nov 18, 2022 11:18 am",Druid
"Maybe they’re returning players as well and are getting used to their new setups? I manage to pull DPS numbers just fine, though I will admit there is a bit of a struggle to do so sometimes. Our damage ramps up over long fights, as most of our DPS comes from placing DoTs on the target: Moonfire, Sunfire and Stellar Flare, followed by generating as much Astral Power as we can before dumping Starsurges into a target. That’s the basics of it, not including the addition of proc effects and cooldowns.","Nov 18, 2022 1:35 pm",Druid
"Confusion for the spec might come into play when doing specific groups, as in order to get buffs for our AoE cast, we first need to use our ST cast twice. This gives us Lunar Eclipse, buffing Starfire and Arcane Damage.","Nov 18, 2022 2:25 pm",Druid
"You are running low level content and saying that Boomkins are cringe, man, you play at a level where most people is extremely casual.","Nov 18, 2022 3:52 pm",Druid
"Boomkin is top dps on most M+ i have been doing lately, the only reason i dont play that spec is because i suck at it.","Nov 18, 2022 7:23 pm",Druid
I admit my experience is anecdotal so let’s find something more authoritative:,"Nov 18, 2022 8:28 pm",Druid
Icy veins DPS Tier List for Mythic+. Out of 24 specs Balance is 22nd beating only BM hunter and unholy DK. It was beat out only slightly by feral.,"Nov 18, 2022 9:10 pm",Druid
icy-veins .com/wow/mythic-dps-tier-list,"Nov 19, 2022 3:19 pm",Druid
"I’ve played a Prot Paladin the last couple expansions, and coming over to Guardian Druid, I can’t help but feel that Ironfur is just a travesty for the spec. With Shield of Righteousness, it’s actually part of your DPS rotation. So you’re actively doing decent AoE damage while also putting up your active mitigation buff.","Nov 14, 2022 5:43 pm",Druid
Ironfur is just a waste. It feels absolutely terrible to press. I have a few ideas on how to fix it:,"Nov 14, 2022 5:56 pm",Druid
That’s all I’ve got. Let’s change Ironfur.,"Nov 15, 2022 1:05 am",Druid
"Uh, Paladin is the only tank that has something like that it’s one of the things that makes it unique. Demon spikes, shield block, ignore pain, iron fur purifying brew all have no damage component and work relatively similar. Dk also had a uni","Nov 15, 2022 7:04 am",Druid
Ironfur feels completely fine.,"Nov 15, 2022 11:23 am",Druid
Ironfur should at least give an aura so it’s easier to tell when its up (and look cool),"Nov 15, 2022 11:45 am",Druid
Ironfur realistically just needs to do a bit more too be a real tank mechanic. Something like giving a small percentage based heal or shield on use.,"Nov 15, 2022 3:16 pm",Druid
"I dont really think it should do dmg, or atleast if it did make it just reflect a small amount of dmg or do a small burst of dmg on use.
There probably should have been some actually cool talents that combo with ironfur to make it do more instead of just have a trashy 10% chance to gain another fur or 8% more armor on ironfur.","Nov 15, 2022 3:46 pm",Druid
"Dude, just don’t tank. Go DPS. Clearly you don’t understand the mechanics/principles of tanking","Nov 15, 2022 3:50 pm",Druid
"That’s quite the aggressive assumption based on my post. I’m well aware of the mechanics of tanking. You’ve failed to provide an argument against what I wrote, and instead decided to insult me. Bizarre childlike behavior.","Nov 15, 2022 4:39 pm",Druid
