comment,date,class
"I main mage, but swapped to Rogue mid-late SL. I returning for the new XP.","Nov 16, 2022 10:12 pm",Mage
Every thread is “Fire is bad” “Arcane is bad” “Frost is bad”,"Nov 16, 2022 10:16 pm",Mage
What’s the truth between the overreactions? This is the most unreadable forum on Blizz forums…,"Nov 16, 2022 10:29 pm",Mage
"In beta fire is #1 dps of all classes, arcane is middle of the pack and frost is dead last. But, they just buffed arcane
Arcane Blast damage increased by 8%.
Arcane Missiles damage increased by 5%.
Arcane Explosion damage increased by 12%.
Arcane Orb damage increased by 10%.
Arcane Barrage damage increased by 8%.","Nov 16, 2022 11:26 pm",Mage
So my guess is that it’ll fine,"Nov 17, 2022 11:21 am",Mage
This pre-patch and not max level in DF pre-raid/raid?,"Nov 17, 2022 11:23 am",Mage
I’m talking about the beta (lvl 70 max raid),"Nov 17, 2022 11:47 am",Mage
"No one has a good handle on class balance. Even if they did, tuning is happening constantly so their understanding could change any day. We only have a handle on class feel right now. Mage does not feel awful. I know fire and arcane players have generally been happy. Frost I’ve seen some more mixed reactions because of icy propulsion.","Nov 17, 2022 2:23 pm",Mage
There are a lot of doomers who enjoy posting negatively though. The beat advice i could give is play them and choose for yourself. You can only judge the feel at the moment.,"Nov 17, 2022 6:13 pm",Mage
Tuning is not worth commenting on for a while yet. No one knows what specs are tuned best at the moment; this is nothing more than a guess.,"Nov 17, 2022 9:46 pm",Mage
"I can’t speak for everyone, but my own personal doom-speak has mostly been centered around the missed potential in the talent trees.","Nov 17, 2022 9:51 pm",Mage
"A lot of our complaints were that mages weren’t iterated on much, and we never got feedback from the person / persons working on our class to understand where they wanted to go.","Nov 17, 2022 10:17 pm",Mage
"We saw a fresh start with revamped talent trees and we waited with starry eyes and bated breath and we were essentially handed last week’s reheated mutton. It’s still good. It’ll provide the nourishment we need, but it lacks the flavor and excitement that we want.","Nov 18, 2022 8:44 am",Mage
I’m still gonna be here. I’m still gonna play arcane. But I’m also absolutely going to complain about what we could’ve had.,"Nov 18, 2022 10:15 am",Mage
"At the end of the day, I’m sure they’ll find a way to make all three mage specs viable. The only issue right now is that it may force people to take talents they don’t want. I’m not sure Blizzard has the capacity to keep every possibly build balanced (nor would I expect them to with the size of these trees).","Nov 18, 2022 12:42 pm",Mage
"Yup, pretty much this. It’s not so much an issue with viability (though maybe it is a little bit of that too where Frost is concerned) but missed potential.","Nov 18, 2022 1:17 pm",Mage
Very early on it became painfully obvious that the shift from talent tiers to trees was more of an afterthought than an expansion linchpin feature for them. That’s why feedback was so aggressive and gloomy.,"Nov 18, 2022 2:40 pm",Mage
It’s especially frustrating for specs like Arcane which were in dire need of an overhaul and the talent revamps were the perfect missed opportunity.,"Nov 18, 2022 5:18 pm",Mage
To focus on a specific grievance: for me it’s mind boggling that their solution to the long standing problem of not wanting to use Arcane Barrage in single target situations was to double down on the cooldown stacking damage multipliers and include a tedious ramp up mechanic (Arcane Harmony stacks) when the whole problem there to begin with was the tedious ramp up of having to get back to 4 Arcane Charges after using ABarr. Of all the solutions and tools at their disposal that’s what they came up with… it really doesn’t inspire confidence and breeds the whole doom and gloom rhetoric.,"Nov 18, 2022 5:29 pm",Mage
"To be honest, I don’t think that this would’ve been a problem if they would never have given us Touch of the Magi as a 45 second cooldown. If they would’ve let it be a random proc like it was in Legion and not removed Charge Up, we wouldn’t feel so pressured to build these stacks.","Nov 18, 2022 6:03 pm",Mage
The Ice Lance and Frostbolt nerfs were unwarranted. The healthpools in DF are close to 300k HP. Frostbolt is literally hitting for like 2% of someone’s HP non-crit up to 6% HP with a shatter combo crit. Frost literally feels like garbage. There’s no reason you can’t buff PvP if you’re worried about making frost OP for PvE. This last round of nerfs was extremely heavy handed. Arcane was already the best on DF beta with Frost and Fire behind by quite a bit. Now it’s not even close. Frost does ZERO damage now and is unviable.,"Nov 12, 2022 12:38 pm",Mage
"I wholeheartedly agree!
I have been saying this on both the Alpha and the Beta.
No spec should be this far behind the others.","Nov 17, 2022 1:19 pm",Mage
It sucks. The spec is barely cohesive. It’s full of abilities that make no sense with the theme and requires a lot of thinking to use efficiently.,"Nov 18, 2022 11:44 am",Mage
"I mean, displacement, on top of alter time, 45-sec cooldown dragon’s breath, while also juggling with the diminish-returns of roots and polymorph. It’s madness.","Nov 18, 2022 5:54 pm",Mage
"And when you somehow manage to cast, it’s like you’re a clown with a water pistol.","Nov 18, 2022 6:16 pm",Mage
"I rolled a shadow priest, I barely have any gear, and it already pumps more than my decently geared frost mage.","Nov 18, 2022 7:07 pm",Mage
Utility is great… Not complaining about the utility at all. DRs are easy to manage if you are used to doing so. I am literally only concerned with the low damage output. If they get a decent damage buff Frost will literally be insane.,"Nov 19, 2022 12:04 am",Mage
