comment,date,class
This thread is a compilation of sites useful for the Monk class and is intended to be a resource to help connect players to all of the different community created content across various platforms.,"Nov 20, 2020 7:54 pm",Monk
"Community Sites
Raiding & logging
Player vs Player
Mythic+","Nov 20, 2020 8:02 pm",Monk
Community Sites,"Nov 20, 2020 11:29 pm",Monk
https://www.peakofserenity.com/ 1.3k,"Nov 22, 2020 9:46 pm",Monk
"Peak of Serenity is a website created by the monk community to be a centralized site for guides, tips, news, and articles for all 3 specs. Here you will be able to find content aimed primarily towards the end game raiding, M+, and PvP scene.","Dec 8, 2020 11:27 am",Monk
"There is also a discord server, which can be found on the site, where the community is available to help out with questions and spec lounges to just hang out in.","Dec 30, 2020 8:20 am",Monk
Bugwalker! The monk bug tracker 254,"Dec 28, 2021 4:31 pm",Monk
(From the perspective of a Mistweaver),"Nov 14, 2022 4:17 pm",Monk
Let me start with the things I like about Faeline Stomp (FLS),"Nov 14, 2022 6:05 pm",Monk
Now here are the reasons I hate it,"Nov 14, 2022 7:32 pm",Monk
Here are some ways this ability could be improved. These wouldn’t necessarily have to be implemented together – I would be happy to see ANY of these things happen.,"Nov 14, 2022 9:53 pm",Monk
"In conclusion, I appreciate having a new way to refresh Ancient Teachings, but I hate that it’s Faeline Stomp. Thank you for your time.","Nov 14, 2022 10:49 pm",Monk
"+1. Like the idea, mechanically speaking, but it’s not thematic in the slightest and definitely needs a few QoL updates, cause it feels horrendously clunky right now.","Nov 15, 2022 12:50 am",Monk
"When you cast it, it doesn’t have blue directly beneath your feet -but iirc it still counts as ‘in’ the faeline, even, which is just…c’mon. It needs more polish.","Nov 15, 2022 10:44 am",Monk
"That said, I do kind of like the reset mechanic - it adds some variability into the rotation that a 15 sec cooldown wouldn’t, and back to back procs can put out some really satisfying AoE healing/damage. I do have a bit of a love-hate relationship with RNG though, so I get that it’s not everyone’s cup of tea (it certainly isn’t mine all the time, either).","Nov 15, 2022 10:52 am",Monk
"Yes please, I need the ability to look like a Monk spell.
They changed Mindgames animation to look shadowy, they really need to do this for all covenant spells that are returning.","Nov 15, 2022 11:54 am",Monk
"I think some of your suggestions are excellent. I too hate the look of stomp - it really doesn’t fit the aesthetic of mw at all. The proc for stomp is largely useless. When pumping heals you are only going to be stomping to maintain the line to stand in. I’m not sure I agree with you about EF mana cost - using Rising mist to maintain EF you are going to cast it as soon as EF drops regardless of what healing the group needs.
I don’t think upwelling will be really used tbh.","Nov 15, 2022 11:57 am",Monk
maybe I’m misunderstanding. do you mean the ancient teachings proc?,"Nov 17, 2022 11:09 am",Monk
The buff you want to maintain is EF itself for the double gusts. Teachings is conveniently the same duration as the EF buff if you spec rising mist. Stomp is just for the buff (fae line) every 30s or when you move. It isn’t worth casting every proc. Teachings is 100% up just from EF. Playing this way is super mana efficient.,"Nov 18, 2022 4:08 pm",Monk
"While I don’t hate the idea of giving it a monk themed coat of paint, (I think there should be like 3x as many glyphs to customize spell effects) that spell looks so, so good.","Nov 18, 2022 7:43 pm",Monk
Used it for a while but I don’t really care for it either. I’ve been using Rising Mist in keys and like it better.,"Nov 19, 2022 1:25 am",Monk
"My thought would be to uncouple the effects from the line completely.
Damage enemies in a cone in front (have the line as a standard visual effect rather then a continuing ground effect) and heal nearby allies. Then the reset mechanic would be just always active on the player.","Nov 19, 2022 2:53 am",Monk
Could use a cost reduction as well.,"Nov 19, 2022 5:01 pm",Monk
There’s like one-ish build for fistweaving but there could be so much more if Blizz would just go full hog and make it a melee spec.,"Nov 18, 2022 11:02 pm",Monk
Im glad the talent tree supports both styles and lets us pepper in as much of whichever style we want into a build.,"Nov 19, 2022 12:16 am",Monk
"There would, in fact, be less if they removed the entire caster side of things. xD","Nov 19, 2022 1:22 am",Monk
"mostly depends on what you are considering caster focused, cause the only talents which are explicitly not useful for fistweaving are like the five Soothing Mist talents.","Nov 19, 2022 12:00 pm",Monk
"Most of the important Caster/Fist choices are in choice nodes (e.g. Clouded Focus/Ancient Teachings and Tear of Morning/Rising Mist), which is how they should be done, unlike the HPal tree where it’s all mixed.","Nov 19, 2022 2:21 pm",Monk
"Although Faeline Stomp nodes being useless for Caster and SooM nodes being useless for Fist isn’t great, but still better than HPal.","Nov 19, 2022 3:15 pm",Monk
"Oh yeah because an honest reading of my OP implies that instead of replacing the casting talents, they should just lob half the tree off. That’s what full hog means to me.","Nov 19, 2022 4:29 pm",Monk
"Currently Thunder Focus Tea only empowers Enveloping Mist, Renewing Mist, Vivify, Rising Sun Kick, and Essence Font. With the developers bringing back more of the Fistweaving options to the game, I believe it’s time to revamp Thunder Focus Tea to now include Tiger Palm and Blackout Kick. Depending on what the developers feel the Mistweaver (Fistweaving) needs, they could incorporate some needed help.","Nov 19, 2022 12:48 pm",Monk
Possible Idea:,"Nov 19, 2022 1:48 pm",Monk
Hello all.,"Nov 13, 2022 7:44 pm",Monk
"Before I start digging through endless guides about gear, abilities and rotation, I thought I would try my luck here first with a few questions regarding the state of Brewmaster for leveling and in the new expac. So here we go…","Nov 14, 2022 11:46 am",Monk
1.) It seems like all the content posted on the Interwebs states that all tanks are kicking butt right now on the Beta…except Brewmaster and Paladin… Is this true? I have no frame of reference as this was going to be my first serious tank…,"Nov 14, 2022 1:06 pm",Monk
2.) Also coming off the tail of question one… How Tanky/Durable is the spec right now? I have only ran a few Legion Dungeons and felt pretty squishy…,"Nov 14, 2022 1:48 pm",Monk
"3.) Another issue players seem to have is “Ability Bloat”. My charecter is 47ish at the moment… How is the “Ability Bloat” for Brewmasters right now? I am used to more streamlined DPS classes for the most part, so does it get alot worse regarding the keybinds?","Nov 15, 2022 7:41 am",Monk
"4.) How is the spec for PVP usefulness? I understand that Tanks in PVP Arenas are kind of a meme, but I dont plan on running any Rated Arenas or Rated BG’s with this spec. Does the Stagger effect work well for guarding Graveyards in Alterac or Spinning Flags in Arathi Basin?","Nov 15, 2022 7:50 am",Monk
