comment,date,class
"We got sub rogue buffs boys and girls! I don’t know that much about sub as I only stick to assassination. But I was hoping to try and perhaps switch over to sub. With the buffs it got for the November 22 tuning, do you sub rogues think it will be enough to make sub feel like it’s in a good spot?","Nov 19, 2022 9:48 am",Rogue
Not compared to other classes.,"Nov 19, 2022 4:23 pm",Rogue
All 3 specs will be within range of each other once they also fix the bugs with SecTech.,"Nov 19, 2022 5:51 pm",Rogue
"I pay Bliz to get transmog, other than that are abusive (PVP), boring (PVE) poops.
In arena no matter what I do I can’t kill any healer, you chase them for 5 mins they still jumping like a rabbit. If I get a full eye beam I am dead.
In raids my fellow raiders lie on the floor while I grind bosses with few other people.
By the time I say this I have already canceled my sub. My biggest mistake is buying DF pre-patch .","Nov 19, 2022 6:01 pm",Rogue
So for anyone else who comes after:,"Nov 19, 2022 6:07 pm",Rogue
"This is an Outlaw rogue with no EoN offhand and more mastery than crit or haste complaining about doing no damage. This person also complaining about balance during a prepatch. So, don’t let this negativity affect your own opinions, please. Rogues have issues, sure, but not the ones this clown is crying about lol.","Nov 19, 2022 6:10 pm",Rogue
It’s probably just me but I’m testing between warrior and rogue which I want to main fully in DF and for some reason rogue just feels off for me in dungeons. I’m assuming I’m the only one who thinks so but thought maybe someone here could tell me why.,"Nov 13, 2022 2:10 pm",Rogue
"Rogue not are particularly know for their AoE and cleave damage. Which is what dungeons are all about. Any DPS is good enough to get through the boss fights. But dungeons focus on how fast you can clear the trash. Which leads to “pull the whole room and hope no one dies” mentality. This, in general, doesn’t favor rogues.","Nov 13, 2022 2:18 pm",Rogue
"Does this tend to feel better at max for things like m+ where things live longer? Trying to decide between the two classes since I plan on doing m+, raid, and probably PVP (iffy).","Nov 13, 2022 2:19 pm",Rogue
"My commits apply to max level, 60 at the moment. Level 70 in Dragon Flight might be different because of more choices offered by the talent tree.","Nov 13, 2022 2:24 pm",Rogue
In regards to leveling. It’s really not worth worrying about. You just don’t have enough tools to work with until about level 50 or so. Just run dungeons as fast as you can to get gear and level up.,"Nov 13, 2022 8:34 pm",Rogue
"get 5 cps, pop blade furry and unleash high damage moves. AOE damage.","Nov 14, 2022 2:39 am",Rogue
"Thats literally all to got to do for trash, but rogues start to shine in the Time to Kill on a boss or a single target elite.","Nov 17, 2022 4:59 pm",Rogue
"Mostly outlaw perspective, been doing my one 15 for the week for the last 2-3 weeks: I certainly fall off the meters in some trash pulls. That BF target cap feels bad man. Especially if there’s a havoc in the group, or one of those rare ret pallies that just runs proc bingo (how can you not love ret aoe). But then we get to the boss and I can contribute ute some proper burst.","Nov 17, 2022 5:54 pm",Rogue
"Conversely, been struggling on my fury warrior, doing much lower content (sub 10s) who knows, maybe im just bad.","Nov 17, 2022 6:55 pm",Rogue
(post deleted by author),"Nov 17, 2022 8:37 pm",Rogue
"It’s really not that bad. With subterfuge and or the garrote talent, you can get up 4 garrotes out of stealth, or 2 and a rupture. It’s all about time management. Quickly figuring out and gauging how many dots you really need to have up to maintain energy.","Nov 17, 2022 8:39 pm",Rogue
Rupture refilling energy on death is key. Garrote is the biggest damage.,"Nov 18, 2022 12:01 am",Rogue
In a normal trash pack of 4-5 enemies I’ll often,"Nov 18, 2022 5:43 pm",Rogue
"garrote, tab, garrote, rupture, fok, fok, rupture, MFD, rupture, (keep working on filling in energy) and at a certain point based on how fast they are dropping you might just decide to stop applying garrotes and ruptures and go for more FoK, CT, and envenoms to fish for a bomb.","Nov 19, 2022 4:22 pm",Rogue
"Hello fellow Stealth lovers, as the title states I’m brand new to Rogue just hit 60. For those of you who haven’t played Rogue for a long time, what was the hardest thing for you to figure out while playing Rogue. Was it learning to track your timers, figuring out when to Reroll RTB, Learning the rotation. You seasoned Rogue players can chime in as well!","Nov 19, 2022 7:46 am",Rogue
"Haven’t played a long time, or have played a long time? I’m confused by the spirit of the post.","Nov 19, 2022 7:54 am",Rogue
"My take is that no matter how long you played a class, there are a lot of small changes that end up shifting the way it interacts with some parts.","Nov 19, 2022 8:22 am",Rogue
"The biggest thing I have learned to do is stop listening to other players and guides and just try to enjoy what I can. If something like Roll The Bones takes away from the feel of a spec, I wouldn’t use it. Take it off my bar. Or deprioritize it enough that in the off chance I did click it, I no longer felt the “chore” in using it.","Nov 19, 2022 4:16 pm",Rogue
"Is anyone else getting these combo point bugs?
The combo points shows in the HUD are different than my character portrait.
Combo points drop off or disappear on pvp and pve targets when I swap for CC or w/e.
When I use the 6th combo point ability the combo points bar will stay filled other than the first point bubble.
I have noticed this with multiple specs (mostly outlaw and assassin), and they all show up regardless of the addons I have installed / active.
Safe to say these are going to get worked out, or is there a new setting or something I am missing here?","Nov 7, 2022 12:12 am",Rogue
"You’d think someone with 27,000 ach points would know what a forum search is…","Nov 7, 2022 12:52 am",Rogue
Sorry I don’t live on the forums like some people I guess. I did search and the first few topics were all from years ago. If it wasn’t in the last 2 weeks I ignored it and then they only mentioned pvp issues. I did not see a mention of the other HUD problems other than in UI and addon issues.,"Nov 7, 2022 1:02 am",Rogue
Yeah I noticed the bug too.,"Nov 7, 2022 8:45 am",Rogue
I noticed this issue but it was a WA that was bugging it. May try to see if it’s one of your Auras.,"Nov 7, 2022 12:28 pm",Rogue
"UnitPower(“player”, Enum.PowerType.ComboPoints) is still working fine for me in my custom UI, so the problem lies with Blizzard’s UI code.","Nov 11, 2022 12:35 am",Rogue
I’ve been trying to use blizz ui but my combo points aren’t working on longer fights on finishing moves I sit there n pound envenom and nothing so I press all buttons til it works again. Then the combo points start going from right to left til I reload.,"Nov 11, 2022 10:19 pm",Rogue
I guess Blizzard is just going to ignore this in the hopes that it goes away or we use addons over it.,"Nov 19, 2022 11:13 am",Rogue
"I love how combo points show up so agonizingly slow on the blizzard ui. When you use an ability, you may or may not have enough time to realize you just procced 4 extra combo points and now you are capped before the global cd is over.","Nov 19, 2022 4:11 pm",Rogue
"Have to spend 20 points to get to the third to last level of assassination.
Poison bomb is 2
Dashing Scoundrel is 3
no more points to put into dragon tempered blades.
The equivalent on the others sides:
Tiny toxic blade 1
Zoldyck Rage 3
gives kingsbane 1
and to the right
shrouded suffocation or sepsis/serated bone spike 1
scent of blood 3
then
Indiscriminate Carnage 1","Oct 26, 2022 8:58 am",Rogue
"Is there something customer support can help with here? If you think you don’t have enough points, remember you will level to 70 in Dragon Flight and get more skill points. If you think there’s a bug, you’ll want to report it in game or in the bug report forum.","Oct 26, 2022 9:07 am",Rogue
"I’ll tack on to what Jeys suggested and also suggest the Rogue forum. Posting here, there isn’t anything anyone can do. This forum is one for players to assist other players. It is not a contact point for the Devs, and Devs are the ones who make the design choices. But the Devs do collect data from Bug Reports, the class forums and pretty much any other forum but for this one.","Oct 26, 2022 9:36 am",Rogue
It was designed that way on purpose.,"Oct 26, 2022 9:49 am",Rogue
Frustrating but it is what it is.,"Oct 26, 2022 11:07 am",Rogue
,"Oct 26, 2022 11:13 am",Rogue
Yup.,"Oct 26, 2022 11:42 am",Rogue
"You can get (by level 70) both Kingsbane and Indiscriminate Carnage, but if you want Dragon Tempered Blades, it’s the only final tier talent you can get. Because… I don’t know, Blizzard decided that Poison Bomb definitely needed 2 ranks for some odd reason.","Oct 26, 2022 12:48 pm",Rogue
That IS rather depressing.,"Oct 26, 2022 1:25 pm",Rogue
"Ok, I agree. I’m not sure how many other classes/specs have a final tier/capstone point disparity like that.","Oct 26, 2022 1:58 pm",Rogue
"So, using the Wowhead talent builder for Dragonflight, I learned something interesting.","Nov 18, 2022 9:01 pm",Rogue
Every other class and spec has multiple combinations of capstone abilities that they can get by level 70.,"Nov 18, 2022 9:13 pm",Rogue
"For example, Arms Warriors have 5 capstone abilities, and can potentially get any 4 of them. (I make no claims as to whether that would be an effective build or not.)","Nov 19, 2022 6:24 am",Rogue
"But Assassination Rogues are, at least to my cursory examination, the only class and spec where if we take a specific capstone ability, in this case, Dragon Tempered Blades, it locks us out of any other capstone ability.","Nov 19, 2022 7:45 am",Rogue
"Even Beast Mastery Hunters, with the Dire Pack capstone ability costing 6 of their last 10 spec talent points (and thus comparable to Dragon Tempered Blades, which also costs 6 of our last 10 talent spec points), can still pick up one other capstone ability, due to the talent point cost of getting to them either being 2 or 3 talent points.","Nov 19, 2022 10:43 am",Rogue
"Now, perhaps that’s for some sort of balance reason, where having, say Kingsbane and Dragon Tempered Blades would be completely broken. (And given how Kingsbane works, that’s entirely possible that is the reason why.)","Nov 19, 2022 12:56 pm",Rogue
It is a balance reason that is why.,"Nov 19, 2022 4:06 pm",Rogue
"You’ll have to forgive me, I went to Icy veigns and still seem to be doing poor DPS compared to other Rogues with gear like mine.","Nov 18, 2022 6:09 pm",Rogue
"I train on the dummies and notice a jump in my DPS when I’m altering Sinister Strike with my pistol shot, I used to only use pistol shot when it gets highlighted on my toolbar and it was doing less dps than if I go 1 and 1. I also seem to generate more CP when I do it that way as well.","Nov 18, 2022 8:49 pm",Rogue
"I’m also using my vanishes and doing Ambush yet my dps is only like 10k when I’m seeing others doing like 14k-23k. I’m blowing all my cooldowns with AR, SnD, etc.","Nov 19, 2022 11:42 am",Rogue
Not sure if it has been mentioned here yet. The next tuning update shows the subtlety specialization getting buffed.,"Nov 19, 2022 12:47 am",Rogue
"Notable mentions are shadowstrike’s damage being increased by 10% and shadow blades cooldown being reduced to 2 min, down from 3 min.","Nov 19, 2022 11:34 am",Rogue
"soo. danse macabre down to 6 percent, from 10.","Nov 17, 2022 8:24 pm",Rogue
it wasnt really that great of a talent at 10 percent… especially since it doesnt stack into the 2nd shadowdance… and its actually better for dmg to spam shadowstrike. talent is terrible.,"Nov 17, 2022 9:33 pm",Rogue
"It actually doesn’t reset now and still stacks with every new ability. It’s very good for burst in dance. It’d be nice if it lasted a bit longer after dance ended, but I still think it’s decent.","Nov 19, 2022 7:26 am",Rogue
"With DF about 2 weeks away, how are our three specs stacking up to each other?","Nov 18, 2022 9:35 am",Rogue
"As I level, I would like to focus on 1 spec so I can be ready for raiding when I hit 70. I prefer Assassination but I’m open to any of them if the performance gap is big enough.","Nov 18, 2022 10:26 am",Rogue
any thoughts or opinions?,"Nov 18, 2022 10:59 am",Rogue
"I personally will be maining assassination but I hear the Outlaw will be good for Mythic +. Honestly just play whatever fits your playstyle, you can always switch if one gets buffed or nerfed.","Nov 18, 2022 12:27 pm",Rogue
Blizzard doesn’t usually let things fly too far out of control for too long. The ol’ 'Fun Detected’™ meme.,"Nov 18, 2022 1:25 pm",Rogue
