comment,date,class
Anyone know how they are looking in df?,"Oct 24, 2022 10:20 am",Shaman
Probably with Far Sight,"Oct 24, 2022 6:51 pm",Shaman
Bahahah thats good,"Oct 24, 2022 6:52 pm",Shaman
They lookin’ pretty fly.,"Oct 25, 2022 3:32 am",Shaman
How about for arena,"Oct 25, 2022 9:34 pm",Shaman
They honestly look really good in PvE overall. Fast paced and fun with their usual utility. It may take some getting used to building talent loadouts for specific dungeons / content however since it’s difficult to get everything we currently have all of the time.,"Oct 25, 2022 9:54 pm",Shaman
"The class tree is a quite point starved for PvP however. Thunderstorm / Lightning Lasso, Ancestral Guidance, double shields, and things like Earth Shield / Feral Lunge / Wind Rush / Earthgrab / Nature’s Guardian no longer being exclusive are quite nice though healing is still your only real defensive; nothing new to answer stuns and their damage potential is possibly the only thing that might allow branching out of the Tubro comp, but it’s hard to say for sure.","Oct 25, 2022 11:03 pm",Shaman
Ascendance is now awesome.,"Oct 25, 2022 11:12 pm",Shaman
"I am absolutely loving my enh shaman with a heavy focused Windfury build! It’s been a blast! The rotation feels good for my personal play style, for my gear and absolute lack of gems, enchants, buff food or pots and flasks in the low keystone I did today I was doing pretty good damage. I can’t imagine how great it’s going to feel with good gear, full enchants and gems, etc.","Oct 26, 2022 12:24 am",Shaman
I really did not think it was going to be possible for Blizzard to pull off an Windfury heavy build but I’m loving it regardless of what the meta is.,"Oct 26, 2022 2:06 pm",Shaman
I still wish 2h was an option but this is a great move in the right direction personally.,"Oct 26, 2022 3:22 pm",Shaman
"Enhancement is the most fun I’ve had in WOW in awhile. I’m so scared they’ll nerf it bc of how good it is. Especially windfury doomwinds with wolves getting cd ticked down with strikes…ahhh so much fun, its topping dps in my runs","Oct 26, 2022 4:45 pm",Shaman
"Broken their healing is stupid broken as along as you have charges you cannot be killed its dumb
Other then that the dps os good and the class feels good as a whole","Oct 26, 2022 5:00 pm",Shaman
So just playing my Enhancement last night ohh yea fun times for Enhancement. Full disclaimer I prefer a Melee wf heavy build and The build i found last night when the procs were hitting in my m+ at my current gear i was hitting 15k. And I am in garbo gear so yea cant wait to see what we can do in DF as long as blizzard doesn’t screw/nerf us like they have a history of doing. i,"Oct 26, 2022 7:08 pm",Shaman
Do you mind sharing your build?,"Oct 26, 2022 7:46 pm",Shaman
I’d love to see your build as well,"Oct 26, 2022 8:19 pm",Shaman
"Been messing with a few builds, running a doomwinds/stormstrike/alpha wolf focused build atm that takes deeply rooted elements… man its fun and slaps decently hard as well lol, its been really fun trying some weird combos","Oct 26, 2022 11:56 pm",Shaman
BcQAAAAAAAAAAAAAAAAAAAAAAIJJpAJkkECkkQAAAAAAAAAAAAAAtIEhECBQJRSBQJRSgC,"Oct 27, 2022 10:11 am",Shaman
This can be found here,"Oct 27, 2022 10:17 am",Shaman
Best Enhancement Shaman Talent Tree Builds - Dragonflight 10.0 - Guides - Wowhead 67,"Oct 27, 2022 10:39 am",Shaman
(topic deleted by author),"Nov 19, 2022 5:31 pm",Shaman
