comment,date,class
"This thread is a compilation of sites useful for understanding Warlocks, whether you’re just starting with the class or you’re looking to improve your play.","Nov 15, 2018 11:20 pm",Warlock
It also goes into some detail on how to look through logs from Warcraftlogs in order to spot basic problems in aid of analysing your play.,"Nov 15, 2018 11:24 pm",Warlock
"Lock One Stop Shop
lockonestopshop.com 4.1k
Basically the Warlock bible and should be your first stop when picking up Warlocks or starting to improve your play.","Nov 17, 2018 2:21 am",Warlock
"Contains guides for all specs written in collaboration with several theorycrafters, sim data on talent combinations, trinkets and azerite traits, all maintained by said theorycrafters and other prominent Warlock players. Links to some streams of prominent Warlocks, both focusing on PvE or PvP, as well as home to large posts of feedback from Gahddo, which is a good read.","Nov 21, 2018 7:43 pm",Warlock
Council of the Black Harvest Discord,"Jan 22, 2019 8:18 pm",Warlock
,"Jan 24, 2019 5:05 pm",Warlock
"Discord Server run by Tibles, Gahddo and Motoko for the Warlock Community.","Jan 24, 2019 5:05 pm",Warlock
"Huge hub of discussion about each spec, dedicated text channels for asking for help and PvP, etc. Definitely a good idea to keep an eye on for pins in each spec channel for important posts marked by the mods, as well as just discussion involving theorycrafters and top players.","Apr 22, 2019 1:11 am",Warlock
Raidbots,"May 22, 2019 11:58 pm",Warlock
,"Jun 19, 2019 10:37 pm",Warlock
"Allows you to simulate characters by its armory or using a SimC string to compare talents, generate stat weights or comparing and/or finding the top gear based on a SimC string.","Nov 3, 2019 7:06 pm",Warlock
"Warcraft Logs
warcraftlogs.com 223
The most popular WoW log site for raiding, with a growing M+ section.","May 19, 2020 4:00 pm",Warlock
"Crucial tool for analysing your own raid performance and understanding how other players are playing well. Also a very handy tool for seeing what talents specs typically take, which specs are being typically played on certain encounters, as well as the general performance of the class/specs compared to all others (which you should take with a grain of salt when trying to improve).","Feb 21, 2021 9:04 pm",Warlock
WoWAnalyzer,"Oct 9, 2022 1:05 pm",Warlock
So idk if it was taken out of the game but I can only find warlock trainers and not demon trainers. Anyways I want to summon a new felguard with a different name and I know we use to be able to summon new demons but cant find the NPC for the life of me. google/mmo are not helping either. Anyways if anyone knows where they’re at or theyre even in the game LMK! TY <3,"Apr 28, 2021 9:30 pm",Warlock
Should be in the cleft of shadow under Orgimmar.,"Apr 28, 2021 11:19 pm",Warlock
Thats what I thought and there was a warlock guy there but when you click on him he just talks about how hes offering his services to the horde so they see that the warlocks mean well lol.,"Apr 29, 2021 10:07 am",Warlock
"A shame you can’t key in the name of your demon, but it kind of makes sense.","Apr 29, 2021 10:19 am",Warlock
Demons are summons unlike hunter pets…,"Apr 29, 2021 10:20 am",Warlock
Yea but I mean at the end of the day we summon the demon to do our bidding. Could we not be like here is your new name now too lol.,"Apr 29, 2021 11:29 am",Warlock
It’s Murgul the Demon Trainer in the Cleft of Shadow. You have to ‘Abandon’ the pet to get a new one.,"Apr 29, 2021 6:12 pm",Warlock
"Coords are about 51.71, 39.92.","May 6, 2021 12:29 am",Warlock
Found him thank you!,"May 6, 2021 10:09 am",Warlock
"Why cant my felguard be named jeff, I’m peeved off, to say the least.","May 9, 2021 6:19 am",Warlock
Lmao how great would that be?! Id name mine Greg,"Jan 20, 2022 5:00 pm",Warlock
Holding out for an imp named Chad.,"Jan 20, 2022 5:22 pm",Warlock
"Who is the demon trainer in Stormwind? I’m in the room with the Warlock Trainer where I thought the demon trainer used to be, but he/she is no where in sight. I’ve done this before on the Voidwalker, but want to rename the Felguard","Jan 20, 2022 5:40 pm",Warlock
"I found the one in Ironforge, but I don’t like Ironforge LOL. Oh well, at least I got it changed. If anyone knows where it is in Stormwind, please post here for future reference.","Jan 21, 2022 1:25 pm",Warlock
"go down the basement, one of the warlocks there.","Jan 21, 2022 3:40 pm",Warlock
give us the ability to rename our pets like hunters,"Jan 22, 2022 6:16 am",Warlock
I love the unnecessarily (in this instance) shady “9 months later”.,"Nov 19, 2022 10:32 am",Warlock
"No because that removes the fantasy of enslaving a sentient being. They have their own names and minds. And we force them to do things against their will. We don’t make friends and do belly rubs like lame hunters. We summon a being as aware of its existence as we are and often as smart(observers are actually smarter than us), and we say “hahah you serve me now even if that means killing your burning legion leaders.","Nov 19, 2022 11:30 am",Warlock
"Yep, demon trader is in between vendor tents…. standing on the corner, like a drug dealer","Nov 19, 2022 4:19 pm",Warlock
"I sure hope for this useless necro, that in 10 months they have by now, found the demon npc.","Nov 19, 2022 6:41 pm",Warlock
"I just logged in for the first time in months and have next to no spells. Prior, I had not yet started Shadowlands quests, just Battle for Azeroth, and don’t have Dragonflight. Before my hiatus due to school, I had just come off a years long hiatus, so I was playing through and catching up.
Anyway, as I said, I have half of one page of spells for an Affliction Warlock. Destruction and Demonology have two pages of spells so something has to be up. Banish, Haunt, Command Demon, Demonic Circle, Phantom Simgularity, and Siphon Life are all slotted, but can’t be used. Help?
I am trying to get back into the game since I have some downtime, and feel utterly useless.","Nov 19, 2022 6:13 pm",Warlock
Warlocks need a glyph to change their Ritual of Summoning to look like the summoning portal that Grand Warlock Wilfred Fizzlebang uses in the Trial of the Crusader when he summons Lord Jaraxxus.,"Nov 19, 2022 5:18 pm",Warlock
"Warlocks could benefit from turning one spec into a melee dps spec. Adds more variety, fun, and goes in line with our more tanky inclinations compared to mages.","Nov 19, 2022 12:30 pm",Warlock
Think of it as a battle mage but for locks.,"Nov 19, 2022 12:46 pm",Warlock
"Maybe destro where we could wield a fire sword and go up and close to wreck someone up. It isn’t that far removed from the Legion. Sargeras was pretty much a sword-wielding monster. Imbue your weapon with fel, make it explode when striking, that sort of spiel.","Nov 19, 2022 12:50 pm",Warlock
"Or, more out of the mold, considering that vision of destro might overlap with demon hunters, an affliction melee warlock in which we imbue our weapon with curses to apply dots through melee attacks could also be fun. After all, our Legion artifact was a scythe, so why not actually use your weapon for once?","Nov 19, 2022 1:11 pm",Warlock
"I’m sure the spec could work if we get creative and make it engaging. Changing the all-caster monotony could also help with the spec tree, giving more variety of playstyles that make building your own lock a more unique experience. I love warlocks, I’m convinced that they’re the class in the best position to bring the battle-caster to life. Adding a bit of diversity to the class is a great way to make it a more immersive and entertaining experience.","Nov 19, 2022 1:32 pm",Warlock
"Nope.
/10 char","Nov 19, 2022 1:33 pm",Warlock
Nope. Lol.,"Nov 19, 2022 1:35 pm",Warlock
