comment,date,class
"idk what’s going on - ever since prepatch ive been getting constant disconnects to WoW only, I keep saving/using this macro and every time I DC or log off for the night it goes away","Nov 19, 2022 2:21 pm",Warrior
"#showtooltip
/cast [stance:2]!Defensive Stance;!Battle Stance","Nov 19, 2022 6:17 pm",Warrior
"PVE: We got nerfed a month ago, Fury is superior for PVE yet again (been waiting 4 years to play arms again, skipped Shadowlands arms bc shadowlands… missed when it was strong)","Nov 14, 2022 5:33 pm",Warrior
Pvp: health pool increase for players 40% with no arms buff? Arms is a burst class not only will everyone have max lv pvp gear (increased hp pool) but also the player health buff is a huge nerf to bursty pvp arms warrior. So yet again we Warriors will be forced Fury again! Oh boi! I can’t wait to smash my raging blow button 8x more than my other buttons… other buttons being 2 buttons. Geeee so glad I never get to play my main arms warrior in pve/pvp. I’ll just be a meme and not get invited to groups b/c this company has no balance or hindsight when iterating changes. So tired of this! At least I’ll have more fun healing on my alt bc of the changes.,"Nov 15, 2022 12:26 am",Warrior
I was so excited to play Arms after levelling it to 70 in beta after maining Outlaw for like 90% of Shadowlands.,"Nov 15, 2022 4:23 am",Warrior
"Can’t really justify changing mains now, it’s really that bad as Arms.","Nov 15, 2022 2:01 pm",Warrior
"I’m just disappointed with recent changes.
You can still perform well on it and the spec it’s self is sooo fun! You can clear all content on it. However, with Fury being technically superior in mythic+/raiding/pvp that’s the ideal spec to play. It’s hard to justify maining arms…
Some groups may decline and opt for something else or may only take a fury over an arms (depends on the group)
Anyways, play what your better at, enjoy more, & will perform better with! But gosh darn do I hope my favorite spec Arms gets some love and buffs.","Nov 19, 2022 10:12 am",Warrior
I’m really perplexed behind the design decision behind making fury bursty and making arms a weird obsolete mess. It was always that fury was the sustained damage/healing PvE spec and Arms was high damage burst with a lot of utility and toolkit for many situations.,"Nov 19, 2022 11:46 am",Warrior
"The recent two expansions theres a huge disconnect between the gear I’m equipping and what’s translated on screen. A two hander in melee combat should hit the hardest. I guess that’s why classic is so popular, you still feel that connection.","Nov 19, 2022 5:33 pm",Warrior
"Disclaimer: this build works better than standard SMF, but I cannot rate it compared to Reckless Abandon TG Crushing Blow due to lack of data and ability to test. Every meta lord with years of retail experience has already determined that TG is the best, probably with Reckless Abandon because Crushing Blow, a rage generator, effectively hits harder than an 80 rage spendor, it’s bonkers. This build with daggers is probably going to be less dps than what warriors with years of theory crafting experience have figured out. I’m coming in with 2 weeks of retail experience because I stopped playing when talent trees were removed and now that they’re back, fun build diversity has a chance of existing and I’m here to take fun builds as far as they can go! It’s long shot, but this build has a possibility of being meta!?","Aug 15, 2022 10:00 pm",Warrior
"Daggers are only 5.5% AP behind Strength 1 handers. It’s laughably easy to make up for that deficit (see post 33 for AP math). Remember I’m only comparing daggers to 1 handers for SMF, Not Meta TG, I don’t have the data for that, yet. And now that disclaimers are out of the way, the actual post (revision, oh god, 15?)","Aug 15, 2022 11:02 pm",Warrior
"Introducing DAGGERS! Which now work with all fury abilities and talents. Why Daggers? You get 35% more auto attack rage with using daggers with annihilator than you do with standard 2.6 speed Single Minded Fury Weapons and a hilarious amount more rage than Titan’s Grip. Y’know how standard Single Minded Fury builds are bloodthirsting every other GCD and occasionally running out of buttons to press? Throw that ideology in the garbage because you’re going to be RAMPAGING EVERY OTHER GCD. You stabby stab A LOT and pop recklessness every 27 seconds, leading to easily 100% recklessness uptime and ~45% Avatar uptime. Now 45% avatar uptime SOUNDS GREAT! And it is! When compared to standard Strength 1 hander SMF, the extra recklessness and avatar uptime probably translates to 2-8% more dps, which starts to make up for that 5.5% ap loss!","Aug 15, 2022 11:02 pm",Warrior
